z1,z2,z3,z4,z5,z6,z7,z8,z9
0.007000000216066837,0.007333333604037762,0.00840000007301569,0.009571428410708904,0.010999999940395355,0.012363636442883448,0.013769230948617825,0.014600000282128652,0.015235294368775451
0.007000000216066837,0.007600000314414501,0.008833333229025206,0.010124999796971679,0.011600000038743018,0.013250000153978666,0.014357143148247684,0.015312500356230885,0.01594444436745511
0.00800000037997961,0.008000000193715096,0.008777777664363384,0.01066666655242443,0.0124545455486937,0.013846154109789776,0.015133333702882132,0.016117647071095073,0.016736842054677636
0.00800000037997961,0.00859999991953373,0.009444444336824946,0.010538461618125439,0.013083333459993204,0.014642857480794191,0.015937500109430403,0.016999999940809276,0.017549999943003058
0.008999999612569809,0.009199999831616878,0.010333333371414078,0.011384615459694313,0.012411764987251338,0.015466666718324026,0.016882352969225717,0.017894736785245568,0.018285714311613924
0.009999999776482582,0.010199999809265137,0.011222222302522924,0.012307692534075333,0.013470588361515719,0.014476190454193525,0.017777777794334624,0.01870000003837049,0.019000000108710745
0.010999999940395355,0.011400000005960465,0.012222222362955412,0.013461538590490818,0.014588235329617472,0.015666666618060498,0.01624000009149313,0.01947619060852698,0.01939130448938712
0.012000000104308128,0.012600000202655792,0.013555555811358823,0.01476923068268941,0.015823529375826612,0.01676190480412472,0.017360000163316725,0.017344827731621677,0.01941666678370287
0.013000000268220901,0.01400000024586916,0.015222222440772586,0.0160769229181684,0.017117647070656803,0.017904762001264663,0.01820000022649765,0.01789655186364363,0.01684848490086469
0.014999999664723873,0.015600000321865082,0.016666666708058782,0.017615384565523036,0.01841176482027068,0.018952381087555772,0.018760000206530094,0.018137931149324465,0.016878787851469082
0.017000000923871994,0.017399999685585497,0.01811111118230555,0.019000000033814173,0.019705882569884554,0.01966666683022465,0.019160000160336494,0.01813793105298075,0.016636363625752205
0.017999999225139618,0.01899999976158142,0.01966666668239567,0.020384615573745508,0.020470588468015194,0.020285714462044694,0.01928000010550022,0.018000000028003907,0.01618181812492284
0.01899999938905239,0.020199999585747717,0.021222222182485793,0.021230769343674183,0.021176470881875825,0.020476190595044977,0.019320000223815442,0.017586206888844227,0.015696969729932873
0.019999999552965164,0.02119999974966049,0.021888888751467068,0.022000000024071105,0.021529411842279574,0.020523809783515475,0.018960000202059745,0.017241379503032256,0.015303030299643675
0.020999999716877937,0.021399999782443047,0.022111111010114353,0.022230769149385966,0.02158823543611695,0.020285714417696,0.018600000254809856,0.016896551892418284,0.015090909165640673
0.019999999552965164,0.02119999974966049,0.02177777762214343,0.02192307707781975,0.021176470717524782,0.01995238107407377,0.01836000006645918,0.016655172542508305,0.015000000116274212
0.01899999938905239,0.019999999552965164,0.02100000013079908,0.021000000218359325,0.020411764819394138,0.01957142867502712,0.018160000033676623,0.016655172349820876,0.0152121213631648
0.017999999225139618,0.018400000035762788,0.019222222165101104,0.019692307911240138,0.019588235382209804,0.01900000014298019,0.018080000057816504,0.016862068903343432,0.01569696964526718
0.01600000075995922,0.016399999894201756,0.017222222147716418,0.018000000084821995,0.01847058830454069,0.018476190666357677,0.0180400001257658,0.01727586204250311,0.016515151484671867
0.013000000268220901,0.014200000278651714,0.015222222026851442,0.016230769240512297,0.017117647070656803,0.017857143034537632,0.018120000176131724,0.017896551831529058,0.017545454599189037
0.010999999940395355,0.011999999918043614,0.013222222423387898,0.014461538396202601,0.01588235286009662,0.01714285724752006,0.018240000233054162,0.01868965544191928,0.018666666621963184
0.009999999776482582,0.009999999962747096,0.011444444561170207,0.012923077035408754,0.014764705672860146,0.016666666737624576,0.018280000276863575,0.019413793234732645,0.01993939396219723
0.00800000037997961,0.00899999998509884,0.010111111112766795,0.011692307746181121,0.013999999939080547,0.016380952449426764,0.01840000007301569,0.020034482831071163,0.02112121233773051
0.00800000037997961,0.00820000022649765,0.009555555362668302,0.011076923029927107,0.013647058923893115,0.01628571433857793,0.01859999991953373,0.020689655352255393,0.02212121221942432
0.00800000037997961,0.00820000022649765,0.009666666491991945,0.011307692226882163,0.01376470594721682,0.016380952360729378,0.019040000140666962,0.021275862087977344,0.023090909235179424
0.00800000037997961,0.009200000017881394,0.01044444450073772,0.012153846068451038,0.014470588087159045,0.017000000169944195,0.019520000107586383,0.022000000137707282,0.024151515130969612
0.009999999776482582,0.010600000061094761,0.012000000207788415,0.01353846125018138,0.015823529430610293,0.018047619167537915,0.020320000164210796,0.02293103461250149,0.02545454553469564
0.012000000104308128,0.013000000081956387,0.013999999914732244,0.015692307613790035,0.017529411898816332,0.01952380948655662,0.021720000132918357,0.024241379590640807,0.027242424418077324
0.014999999664723873,0.015599999949336052,0.016888888966706064,0.018153846263885498,0.019764705835019842,0.021571428648063114,0.023520000018179416,0.026379310686526627,0.029727272858673878
0.017999999225139618,0.018999999947845937,0.020000000380807452,0.021076923021330282,0.02247058835757129,0.024047618997948512,0.026200000196695328,0.02924137951099667,0.0330303032515627
0.02199999988079071,0.022599999979138374,0.02333333332919412,0.024384615727915213,0.025588235215229148,0.027238095400943643,0.029640000015497207,0.03300000039924835,0.03696969673601967
0.026000000536441803,0.026399999856948853,0.02688888915710979,0.02792307684341302,0.029294118011260733,0.031142857014423327,0.03388000015169382,0.03744827589855112,0.04142424272316875
0.029999999329447746,0.03020000085234642,0.03077777764863438,0.031769231105080016,0.03347058807883192,0.035761904725361435,0.03875999987125397,0.04241379366481099,0.045909091435147056
0.03400000184774399,0.03399999961256981,0.03488888964056969,0.0361538460621467,0.03805882330326473,0.040809523535981065,0.0441200004145503,0.047482759531201985,0.05012121201125962
0.03799999877810478,0.03840000107884407,0.03911111089918348,0.04076923086093022,0.04317647043396445,0.04614285716698283,0.049440000616014,0.052206896855656444,0.053878788074309174
0.0430000014603138,0.042799999564886095,0.04377777833077642,0.04569230715815838,0.048352941432419944,0.051523810075152485,0.05432000003755093,0.05637931069038037,0.05693939393104026
0.04699999839067459,0.04780000075697899,0.048666666365332074,0.05084615372694456,0.053470588782254386,0.056333333519952636,0.05868000037968159,0.059758620657797516,0.05927272730817398
0.052000001072883606,0.05259999930858612,0.05388888965050379,0.05576923059729429,0.0582352942403625,0.060571429097936266,0.06211999997496605,0.062379310678305294,0.061272727382002456
0.05700000002980232,0.05740000009536743,0.05877777851290173,0.06046153805576838,0.062352941316716815,0.06404761952303704,0.06472000017762185,0.06451724154938912,0.06312121264636517
0.061000000685453415,0.061800000816583635,0.06311111152172089,0.06453846079798845,0.06576470636269625,0.06657142901704424,0.06696000024676323,0.06637931062743582,0.06515151527569149
0.06400000303983688,0.06520000025629998,0.0665555563237932,0.06761538380613694,0.06829411799416822,0.0688095245332945,0.06884000018239021,0.06841379301301365,0.06769696995615959
0.06599999964237213,0.06720000058412552,0.06866666716006067,0.06953846147427192,0.070235294454238,0.07071428621808688,0.07087999999523163,0.07089655165528429,0.07096969742666591
0.06599999964237213,0.06779999881982804,0.0692222234275606,0.07053846235458668,0.07152941209428451,0.07247619047051385,0.07331999987363816,0.0741034485399723,0.07500000083536813
0.06499999761581421,0.06679999977350234,0.06866666716006067,0.07053846292770825,0.07235294142190148,0.07423809525512513,0.07620000019669533,0.07800000032474255,0.08012121261069269
0.06300000101327896,0.0647999994456768,0.06733333402209812,0.06984615411895972,0.07282353017260046,0.07609523886016437,0.07932000011205673,0.08265517253814073,0.08606060639475331
0.061000000685453415,0.0626000002026558,0.0654444442027145,0.06900000056395164,0.07305882432881523,0.07780952503283818,0.08284000024199485,0.08772413766589658,0.09293939410285516
0.05999999865889549,0.06080000028014183,0.06388888922002581,0.06815384672238277,0.0733529425719205,0.07957142875308082,0.08628000050783158,0.09327586213576383,0.10033333278966672
0.05900000035762787,0.06039999946951866,0.06322222327192624,0.06784615493737735,0.07400000051540487,0.08133333389248167,0.08983999997377395,0.0987931035202125,0.10790909070408705
0.05999999865889549,0.06120000034570694,0.06388889004786809,0.06876923115207599,0.07505882443750606,0.08357142905394237,0.09340000003576279,0.10406896497668891,0.11509090887777733
0.06300000101327896,0.06360000073909759,0.06611111139257748,0.0708461541395921,0.07747058942914009,0.08619047665879839,0.09699999958276749,0.10893103403264079,0.12151515100038413
0.06700000166893005,0.06780000030994415,0.0698888897895813,0.07453846157743381,0.08100000067668803,0.08976190519474801,0.10059999972581864,0.113206896031725,0.12666666665763565
0.0729999989271164,0.0732000008225441,0.07544444584184223,0.0796923075730984,0.08576470591566142,0.09404761947336651,0.10443999990820885,0.11665517245901041,0.13015151497992603
0.07999999821186066,0.08040000051259995,0.08222222328186035,0.08600000062814125,0.09158823463846655,0.09890476241707802,0.10816000014543534,0.11927586241528906,0.13193939355286685
0.08900000154972076,0.0886000007390976,0.08999999943706724,0.0931538469516314,0.09782352955902324,0.1039523815824872,0.11147999987006188,0.1209655175435132,0.13215151485620122
0.0989999994635582,0.09780000001192093,0.09811111125681135,0.1005384624004364,0.10388235265717786,0.10842857226019814,0.11420000016689301,0.12162068961509342,0.13103030260765192
0.10899999737739563,0.10700000077486038,0.10633333358499739,0.10723076990017524,0.10905882234082502,0.11185714425075621,0.11580000072717667,0.1213793102009543,0.12912121132919283
0.11800000071525574,0.1153999999165535,0.11355555554231007,0.11269230796740605,0.11264705877093707,0.11385714333681833,0.11612000077962875,0.12034482791506011,0.12672727148641239
